Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546613600,2019-01-04T14:53:20Z,CAL5997,"25.098965,121.242424",0,0,271
1546613689,2019-01-04T14:54:49Z,CAL5997,"25.098965,121.242432",0,0,180
1546613810,2019-01-04T14:56:50Z,CAL5997,"25.098976,121.242432",0,0,271
1546614020,2019-01-04T15:00:20Z,CAL5997,"25.098976,121.242432",0,0,89
1546614068,2019-01-04T15:01:08Z,CAL5997,"25.098778,121.24263",0,10,5
1546614099,2019-01-04T15:01:39Z,CAL5997,"25.098545,121.242836",0,9,5
1546614130,2019-01-04T15:02:10Z,CAL5997,"25.098278,121.242928",0,9,5
1546614160,2019-01-04T15:02:40Z,CAL5997,"25.098026,121.242775",0,10,5
1546614194,2019-01-04T15:03:14Z,CAL5997,"25.097786,121.242447",0,11,5
1546614220,2019-01-04T15:03:40Z,CAL5997,"25.09758,121.24218",0,11,5
1546614241,2019-01-04T15:04:01Z,CAL5997,"25.097404,121.241959",0,11,5
1546614261,2019-01-04T15:04:21Z,CAL5997,"25.097219,121.241722",0,11,5
1546614284,2019-01-04T15:04:44Z,CAL5997,"25.097019,121.241478",0,11,5
1546614310,2019-01-04T15:05:10Z,CAL5997,"25.09679,121.241188",0,11,5
1546614331,2019-01-04T15:05:31Z,CAL5997,"25.096584,121.240944",0,11,5
1546614353,2019-01-04T15:05:53Z,CAL5997,"25.096405,121.2407",0,11,5
1546614371,2019-01-04T15:06:11Z,CAL5997,"25.09623,121.240494",0,11,5
1546614576,2019-01-04T15:09:36Z,CAL5997,"25.096172,121.240402",0,0,180
1546614700,2019-01-04T15:11:40Z,CAL5997,"25.096533,121.241013",0,19,5
1546614710,2019-01-04T15:11:50Z,CAL5997,"25.096413,121.241356",0,20,123
1546614721,2019-01-04T15:12:01Z,CAL5997,"25.096125,121.241669",0,23,137
1546614731,2019-01-04T15:12:11Z,CAL5997,"25.095783,121.242004",0,24,140
1546614742,2019-01-04T15:12:22Z,CAL5997,"25.095451,121.242317",0,25,137
1546614753,2019-01-04T15:12:33Z,CAL5997,"25.095043,121.242722",0,29,140
1546614764,2019-01-04T15:12:44Z,CAL5997,"25.094507,121.24321",0,31,140
1546614773,2019-01-04T15:12:53Z,CAL5997,"25.094078,121.243629",0,34,137
1546614801,2019-01-04T15:13:21Z,CAL5997,"25.093193,121.244446",0,18,5
1546614812,2019-01-04T15:13:32Z,CAL5997,"25.09289,121.244492",0,17,5
1546614829,2019-01-04T15:13:49Z,CAL5997,"25.09251,121.244179",0,21,227
1546614844,2019-01-04T15:14:04Z,CAL5997,"25.092075,121.243629",0,26,230
1546614856,2019-01-04T15:14:16Z,CAL5997,"25.091663,121.243111",0,30,227
1546614871,2019-01-04T15:14:31Z,CAL5997,"25.091074,121.242386",0,25,225
1546614882,2019-01-04T15:14:42Z,CAL5997,"25.090702,121.242195",0,24,196
1546614888,2019-01-04T15:14:48Z,CAL5997,"25.090446,121.242111",0,27,196
1546614896,2019-01-04T15:14:56Z,CAL5997,"25.090015,121.241974",0,25,196
1546614902,2019-01-04T15:15:02Z,CAL5997,"25.089787,121.241859",0,22,208
1546614913,2019-01-04T15:15:13Z,CAL5997,"25.089478,121.241547",0,24,227
1546614919,2019-01-04T15:15:19Z,CAL5997,"25.089272,121.24128",0,27,230
1546614930,2019-01-04T15:15:30Z,CAL5997,"25.088875,121.240776",0,31,230
1546614941,2019-01-04T15:15:41Z,CAL5997,"25.088482,121.240273",0,28,227
1546614958,2019-01-04T15:15:58Z,CAL5997,"25.088161,121.239609",0,22,261
1546614968,2019-01-04T15:16:08Z,CAL5997,"25.088142,121.239143",0,24,267
1546614983,2019-01-04T15:16:23Z,CAL5997,"25.088024,121.238533",0,20,241
