Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547822191,2019-01-18T14:36:31Z,CAL5997,"25.092304,121.245819",0,0,5
1547822358,2019-01-18T14:39:18Z,CAL5997,"25.092564,121.24556",0,12,5
1547822379,2019-01-18T14:39:39Z,CAL5997,"25.092819,121.245323",0,12,5
1547822400,2019-01-18T14:40:00Z,CAL5997,"25.093065,121.245178",0,11,5
1547822420,2019-01-18T14:40:20Z,CAL5997,"25.093311,121.245247",0,11,5
1547822635,2019-01-18T14:43:55Z,CAL5997,"25.093088,121.244911",0,20,230
1547822651,2019-01-18T14:44:11Z,CAL5997,"25.092691,121.244408",0,25,227
1547822667,2019-01-18T14:44:27Z,CAL5997,"25.092169,121.243729",0,28,227
1547822682,2019-01-18T14:44:42Z,CAL5997,"25.091652,121.243073",0,29,227
1547822691,2019-01-18T14:44:51Z,CAL5997,"25.091318,121.242645",0,28,227
1547822707,2019-01-18T14:45:07Z,CAL5997,"25.090622,121.242165",0,30,196
1547822716,2019-01-18T14:45:16Z,CAL5997,"25.090096,121.242004",0,32,196
1547822727,2019-01-18T14:45:27Z,CAL5997,"25.089561,121.241623",0,31,222
1547822743,2019-01-18T14:45:43Z,CAL5997,"25.088917,121.240829",0,32,227
1547822749,2019-01-18T14:45:49Z,CAL5997,"25.088711,121.240562",0,31,227
1547822769,2019-01-18T14:46:09Z,CAL5997,"25.088188,121.239754",0,19,5
1547822779,2019-01-18T14:46:19Z,CAL5997,"25.088154,121.239471",0,14,5
1547822815,2019-01-18T14:46:55Z,CAL5997,"25.088142,121.239174",0,15,5
1547822830,2019-01-18T14:47:10Z,CAL5997,"25.088093,121.238731",0,18,5
1547822841,2019-01-18T14:47:21Z,CAL5997,"25.087944,121.238403",0,21,236
