Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550403524,2019-02-17T11:38:44Z,QFA9,"-31.934986,115.961082",0,0,298
1550403604,2019-02-17T11:40:04Z,QFA9,"-31.935001,115.961105",0,0,117
1550403678,2019-02-17T11:41:18Z,QFA9,"-31.935219,115.961349",0,10,315
1550403703,2019-02-17T11:41:43Z,QFA9,"-31.935417,115.961601",0,10,320
1550403729,2019-02-17T11:42:09Z,QFA9,"-31.935596,115.96183",0,9,337
1550403761,2019-02-17T11:42:41Z,QFA9,"-31.935825,115.961983",0,2,11
1550403908,2019-02-17T11:45:08Z,QFA9,"-31.935556,115.962051",0,14,14
1550403920,2019-02-17T11:45:20Z,QFA9,"-31.935278,115.962234",0,17,28
1550403930,2019-02-17T11:45:30Z,QFA9,"-31.934967,115.962448",0,19,30
1550403946,2019-02-17T11:45:46Z,QFA9,"-31.934429,115.962784",0,22,28
1550403956,2019-02-17T11:45:56Z,QFA9,"-31.93404,115.962959",0,22,25
1550403967,2019-02-17T11:46:07Z,QFA9,"-31.933613,115.96312",0,24,16
1550403977,2019-02-17T11:46:17Z,QFA9,"-31.933159,115.963219",0,27,14
1550403989,2019-02-17T11:46:29Z,QFA9,"-31.932541,115.963303",0,26,2
1550404004,2019-02-17T11:46:44Z,QFA9,"-31.932003,115.963333",0,17,8
1550404015,2019-02-17T11:46:55Z,QFA9,"-31.931704,115.963425",0,17,16
1550404025,2019-02-17T11:47:05Z,QFA9,"-31.931368,115.96357",0,21,22
1550404036,2019-02-17T11:47:16Z,QFA9,"-31.931053,115.963943",0,22,47
1550404051,2019-02-17T11:47:31Z,QFA9,"-31.930607,115.964508",0,23,50
1550404057,2019-02-17T11:47:37Z,QFA9,"-31.930449,115.964729",0,23,47
1550404068,2019-02-17T11:47:48Z,QFA9,"-31.930126,115.965126",0,25,47
1550404084,2019-02-17T11:48:04Z,QFA9,"-31.92968,115.965691",0,19,47
1550404095,2019-02-17T11:48:15Z,QFA9,"-31.929295,115.965881",0,22,22
1550404107,2019-02-17T11:48:27Z,QFA9,"-31.928844,115.966019",0,20,16
1550404117,2019-02-17T11:48:37Z,QFA9,"-31.928539,115.96624",0,20,39
1550404127,2019-02-17T11:48:47Z,QFA9,"-31.928446,115.966606",0,16,73
1550404136,2019-02-17T11:48:56Z,QFA9,"-31.928478,115.966858",0,14,92
1550404298,2019-02-17T11:51:38Z,QFA9,"-31.928982,115.968346",0,15,149
1550404308,2019-02-17T11:51:48Z,QFA9,"-31.929188,115.968277",0,17,182
1550404316,2019-02-17T11:51:56Z,QFA9,"-31.929785,115.968117",0,24,194
1550404323,2019-02-17T11:52:03Z,QFA9,"-31.931007,115.967766",0,54,196
1550404335,2019-02-17T11:52:15Z,QFA9,"-31.935471,115.966461",50,100,193
1550404347,2019-02-17T11:52:27Z,QFA9,"-31.942936,115.964279",75,150,193
1550404370,2019-02-17T11:52:50Z,QFA9,"-31.96097,115.959053",425,182,194
1550404380,2019-02-17T11:53:00Z,QFA9,"-31.96944,115.956573",850,185,194
1550404386,2019-02-17T11:53:06Z,QFA9,"-31.97447,115.955093",1100,186,194
1550404397,2019-02-17T11:53:17Z,QFA9,"-31.984039,115.952339",1475,197,193
1550404408,2019-02-17T11:53:28Z,QFA9,"-31.99358,115.948639",1675,210,204
1550404419,2019-02-17T11:53:39Z,QFA9,"-32.00285,115.93998",1850,230,224
1550404430,2019-02-17T11:53:50Z,QFA9,"-32.010948,115.928688",2000,247,234
1550404437,2019-02-17T11:53:57Z,QFA9,"-32.014252,115.922188",2100,251,243
1550404448,2019-02-17T11:54:08Z,QFA9,"-32.019611,115.90554",2350,271,255
1550404460,2019-02-17T11:54:20Z,QFA9,"-32.02103,115.88961",2650,281,270
1550404466,2019-02-17T11:54:26Z,QFA9,"-32.020111,115.878242",2950,282,276
1550404477,2019-02-17T11:54:37Z,QFA9,"-32.017551,115.860062",3425,287,277
1550404483,2019-02-17T11:54:43Z,QFA9,"-32.016579,115.852402",3575,291,276
1550404489,2019-02-17T11:54:49Z,QFA9,"-32.015171,115.841377",3725,299,276
1550404499,2019-02-17T11:54:59Z,QFA9,"-32.013142,115.825333",3950,311,278
1550404511,2019-02-17T11:55:11Z,QFA9,"-32.010296,115.803238",4225,322,278
1550404518,2019-02-17T11:55:18Z,QFA9,"-32.00853,115.789528",4425,328,278
1550404555,2019-02-17T11:55:55Z,QFA9,"-31.99704,115.720421",5500,361,287
1550404566,2019-02-17T11:56:06Z,QFA9,"-31.990791,115.701508",6025,362,293
1550404577,2019-02-17T11:56:17Z,QFA9,"-31.982803,115.683235",6650,356,299
1550404586,2019-02-17T11:56:26Z,QFA9,"-31.975296,115.668236",7175,355,300
1550404601,2019-02-17T11:56:41Z,QFA9,"-31.961742,115.6408",7825,360,299
