Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549088805,2019-02-02T06:26:45Z,SIA37,"33.943886,-118.429672",0,0,180
1549088896,2019-02-02T06:28:16Z,SIA37,"33.943863,-118.429916",0,2,81
1549088912,2019-02-02T06:28:32Z,SIA37,"33.943844,-118.43013",0,9,84
1549088934,2019-02-02T06:28:54Z,SIA37,"33.94389,-118.430374",0,9,61
1549088952,2019-02-02T06:29:12Z,SIA37,"33.943886,-118.430588",0,9,39
1549088973,2019-02-02T06:29:33Z,SIA37,"33.943806,-118.430824",0,9,11
1549089004,2019-02-02T06:30:04Z,SIA37,"33.943851,-118.430222",0,0,169
1549089050,2019-02-02T06:30:50Z,SIA37,"33.943623,-118.430901",0,0,148
1549089281,2019-02-02T06:34:41Z,SIA37,"33.943851,-118.430908",0,13,354
1549089295,2019-02-02T06:34:55Z,SIA37,"33.944111,-118.430946",0,14,351
1549089305,2019-02-02T06:35:05Z,SIA37,"33.944344,-118.430977",0,12,351
1549089323,2019-02-02T06:35:23Z,SIA37,"33.944633,-118.431015",0,16,351
1549089329,2019-02-02T06:35:29Z,SIA37,"33.944836,-118.431046",0,18,351
1549089341,2019-02-02T06:35:41Z,SIA37,"33.94511,-118.431061",0,10,357
1549089374,2019-02-02T06:36:14Z,SIA37,"33.945316,-118.431076",0,12,357
1549089385,2019-02-02T06:36:25Z,SIA37,"33.945602,-118.431084",0,17,357
1549089395,2019-02-02T06:36:35Z,SIA37,"33.945847,-118.430969",0,16,16
1549089411,2019-02-02T06:36:51Z,SIA37,"33.945923,-118.430687",0,10,47
1549089423,2019-02-02T06:37:03Z,SIA37,"33.945923,-118.430389",0,15,73
1549089430,2019-02-02T06:37:10Z,SIA37,"33.945923,-118.430176",0,14,81
1549089437,2019-02-02T06:37:17Z,SIA37,"33.945923,-118.429955",0,14,84
1549089450,2019-02-02T06:37:30Z,SIA37,"33.945938,-118.429573",0,20,84
1549089456,2019-02-02T06:37:36Z,SIA37,"33.945961,-118.429253",0,24,84
1549089468,2019-02-02T06:37:48Z,SIA37,"33.946037,-118.428497",0,29,81
1549089478,2019-02-02T06:37:58Z,SIA37,"33.946056,-118.427956",0,26,87
1549089485,2019-02-02T06:38:05Z,SIA37,"33.945751,-118.427589",0,29,132
1549089491,2019-02-02T06:38:11Z,SIA37,"33.945442,-118.427544",0,29,160
1549089504,2019-02-02T06:38:24Z,SIA37,"33.944622,-118.427452",0,34,171
1549089510,2019-02-02T06:38:30Z,SIA37,"33.944092,-118.427376",0,16,171
1549089521,2019-02-02T06:38:41Z,SIA37,"33.943459,-118.427284",0,17,174
1549089532,2019-02-02T06:38:52Z,SIA37,"33.942436,-118.427139",0,18,171
1549089543,2019-02-02T06:39:03Z,SIA37,"33.941433,-118.426979",0,34,171
1549089549,2019-02-02T06:39:09Z,SIA37,"33.941128,-118.426941",0,25,171
1549089556,2019-02-02T06:39:16Z,SIA37,"33.940853,-118.426903",0,24,171
1549089566,2019-02-02T06:39:26Z,SIA37,"33.940338,-118.426819",0,23,174
1549089573,2019-02-02T06:39:33Z,SIA37,"33.940083,-118.426781",0,23,171
1549089579,2019-02-02T06:39:39Z,SIA37,"33.939877,-118.426956",0,24,174
1549089585,2019-02-02T06:39:45Z,SIA37,"33.939526,-118.426697",0,25,171
1549089592,2019-02-02T06:39:52Z,SIA37,"33.93927,-118.426651",0,26,174
1549089599,2019-02-02T06:39:59Z,SIA37,"33.938896,-118.426605",0,28,174
1549089605,2019-02-02T06:40:05Z,SIA37,"33.93856,-118.426552",0,30,171
1549089611,2019-02-02T06:40:11Z,SIA37,"33.93821,-118.426506",0,32,171
1549089623,2019-02-02T06:40:23Z,SIA37,"33.937397,-118.426384",0,15,174
1549089629,2019-02-02T06:40:29Z,SIA37,"33.936977,-118.426323",0,15,174
1549089635,2019-02-02T06:40:35Z,SIA37,"33.936562,-118.426254",0,32,174
1549089641,2019-02-02T06:40:41Z,SIA37,"33.936245,-118.426224",0,26,174
1549089650,2019-02-02T06:40:50Z,SIA37,"33.935852,-118.425987",0,28,151
1549089659,2019-02-02T06:40:59Z,SIA37,"33.935806,-118.425446",0,26,98
1549089665,2019-02-02T06:41:05Z,SIA37,"33.936184,-118.425217",0,24,84
1549089674,2019-02-02T06:41:14Z,SIA37,"33.936241,-118.424782",0,22,81
1549089682,2019-02-02T06:41:22Z,SIA37,"33.936291,-118.424347",0,20,81
1549089691,2019-02-02T06:41:31Z,SIA37,"33.936325,-118.42395",0,21,81
1549089697,2019-02-02T06:41:37Z,SIA37,"33.936356,-118.423645",0,23,81
1549089704,2019-02-02T06:41:44Z,SIA37,"33.93639,-118.423286",0,26,84
1549089716,2019-02-02T06:41:56Z,SIA37,"33.936466,-118.422531",0,30,84
1549089740,2019-02-02T06:42:20Z,SIA37,"33.936642,-118.420929",0,26,84
1549089748,2019-02-02T06:42:28Z,SIA37,"33.936699,-118.420425",0,25,84
1549089754,2019-02-02T06:42:34Z,SIA37,"33.936733,-118.420105",0,26,81
1549089767,2019-02-02T06:42:47Z,SIA37,"33.936813,-118.41935",0,30,84
1549089773,2019-02-02T06:42:53Z,SIA37,"33.936859,-118.418884",0,33,81
1549089779,2019-02-02T06:42:59Z,SIA37,"33.936916,-118.418327",0,15,81
1549089785,2019-02-02T06:43:05Z,SIA37,"33.936977,-118.417755",0,17,81
1549089792,2019-02-02T06:43:12Z,SIA37,"33.937042,-118.417145",0,19,81
1549089798,2019-02-02T06:43:18Z,SIA37,"33.937099,-118.416504",0,19,84
1549089808,2019-02-02T06:43:28Z,SIA37,"33.937214,-118.415352",0,17,84
