Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551257664,2019-02-27T08:54:24Z,CAL105,"35.778271,140.389557",0,13,59
1551257675,2019-02-27T08:54:35Z,CAL105,"35.778374,140.389771",0,14,59
1551257686,2019-02-27T08:54:46Z,CAL105,"35.778515,140.39006",0,17,59
1551257702,2019-02-27T08:55:02Z,CAL105,"35.778786,140.390625",0,20,59
1551257712,2019-02-27T08:55:12Z,CAL105,"35.778992,140.391037",0,22,59
1551257723,2019-02-27T08:55:23Z,CAL105,"35.779232,140.391525",0,24,59
1551257735,2019-02-27T08:55:35Z,CAL105,"35.779472,140.39209",0,25,64
1551257748,2019-02-27T08:55:48Z,CAL105,"35.779289,140.39299",0,32,123
1551257765,2019-02-27T08:56:05Z,CAL105,"35.778751,140.394226",0,15,115
1551257779,2019-02-27T08:56:19Z,CAL105,"35.778259,140.39502",0,26,146
1551257790,2019-02-27T08:56:30Z,CAL105,"35.777828,140.395309",0,24,149
1551257808,2019-02-27T08:56:48Z,CAL105,"35.777229,140.395752",0,22,149
1551257856,2019-02-27T08:57:36Z,CAL105,"35.774654,140.397614",0,16,149
1551257879,2019-02-27T08:57:59Z,CAL105,"35.773243,140.398621",0,29,151
1551257893,2019-02-27T08:58:13Z,CAL105,"35.77256,140.399109",0,25,149
1551257939,2019-02-27T08:58:59Z,CAL105,"35.771439,140.3992",0,10,199
1551257959,2019-02-27T08:59:19Z,CAL105,"35.771152,140.399033",0,15,202
1551257970,2019-02-27T08:59:30Z,CAL105,"35.770844,140.398865",0,19,205
1551257989,2019-02-27T08:59:49Z,CAL105,"35.770191,140.398499",0,24,205
1551257996,2019-02-27T08:59:56Z,CAL105,"35.769791,140.398285",0,29,205
1551258004,2019-02-27T09:00:04Z,CAL105,"35.769413,140.398071",0,31,202
1551258120,2019-02-27T09:02:00Z,CAL105,"35.762127,140.394028",0,16,205
1551258131,2019-02-27T09:02:11Z,CAL105,"35.761253,140.393539",0,17,205
1551258231,2019-02-27T09:03:51Z,CAL105,"35.756664,140.388367",0,20,239
1551258241,2019-02-27T09:04:01Z,CAL105,"35.756401,140.387817",0,25,239
1551258253,2019-02-27T09:04:13Z,CAL105,"35.756104,140.387207",0,27,241
1551258259,2019-02-27T09:04:19Z,CAL105,"35.756016,140.386871",0,28,255
1551258268,2019-02-27T09:04:28Z,CAL105,"35.755966,140.3862",0,29,270
1551258278,2019-02-27T09:04:38Z,CAL105,"35.756012,140.385635",0,26,281
1551258286,2019-02-27T09:04:46Z,CAL105,"35.756287,140.385193",0,29,323
