Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551152439,2019-02-26T03:40:39Z,CAL5705,"35.768074,140.380585",0,0,180
1551152565,2019-02-26T03:42:45Z,CAL5705,"35.767845,140.380508",0,11,5
1551152586,2019-02-26T03:43:06Z,CAL5705,"35.767548,140.38031",0,12,5
1551152602,2019-02-26T03:43:22Z,CAL5705,"35.767433,140.380066",0,11,5
1551152624,2019-02-26T03:43:44Z,CAL5705,"35.767502,140.379761",0,11,5
1551152647,2019-02-26T03:44:07Z,CAL5705,"35.767685,140.379547",0,0,329
1551152847,2019-02-26T03:47:27Z,CAL5705,"35.767677,140.379547",0,0,129
1551152898,2019-02-26T03:48:18Z,CAL5705,"35.767376,140.379761",0,19,5
1551152907,2019-02-26T03:48:27Z,CAL5705,"35.767132,140.379959",0,21,149
1551152916,2019-02-26T03:48:36Z,CAL5705,"35.766796,140.380188",0,24,149
1551152926,2019-02-26T03:48:46Z,CAL5705,"35.766415,140.380463",0,27,149
1551152943,2019-02-26T03:49:03Z,CAL5705,"35.765667,140.380875",0,24,180
1551152952,2019-02-26T03:49:12Z,CAL5705,"35.765293,140.380722",0,24,205
1551152962,2019-02-26T03:49:22Z,CAL5705,"35.764973,140.380524",0,22,208
1551152981,2019-02-26T03:49:41Z,CAL5705,"35.764481,140.379898",0,25,236
1551152990,2019-02-26T03:49:50Z,CAL5705,"35.764233,140.379395",0,27,239
1551153000,2019-02-26T03:50:00Z,CAL5705,"35.763897,140.378845",0,27,219
1551153006,2019-02-26T03:50:06Z,CAL5705,"35.763653,140.378754",0,27,185
1551153016,2019-02-26T03:50:16Z,CAL5705,"35.763165,140.378998",0,30,151
1551153022,2019-02-26T03:50:22Z,CAL5705,"35.762882,140.379166",0,31,149
1551153032,2019-02-26T03:50:32Z,CAL5705,"35.762302,140.379608",0,34,149
1551153041,2019-02-26T03:50:41Z,CAL5705,"35.761791,140.379974",0,16,149
1551153212,2019-02-26T03:53:32Z,CAL5705,"35.747883,140.39003",0,23,149
1551153267,2019-02-26T03:54:27Z,CAL5705,"35.743973,140.391708",0,31,236
1551153294,2019-02-26T03:54:54Z,CAL5705,"35.743797,140.390427",0,14,5
1551153323,2019-02-26T03:55:23Z,CAL5705,"35.74453,140.389862",0,31,329
1551153334,2019-02-26T03:55:34Z,CAL5705,"35.746975,140.388123",0,76,329
1551153345,2019-02-26T03:55:45Z,CAL5705,"35.751049,140.385162",0,120,329
1551153352,2019-02-26T03:55:52Z,CAL5705,"35.754875,140.382401",0,145,329
1551153368,2019-02-26T03:56:08Z,CAL5705,"35.765442,140.374725",350,162,328
1551153380,2019-02-26T03:56:20Z,CAL5705,"35.772789,140.368927",725,163,326
1551153397,2019-02-26T03:56:37Z,CAL5705,"35.784164,140.360748",1275,165,330
1551153407,2019-02-26T03:56:47Z,CAL5705,"35.790756,140.356125",1600,168,330
