Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550541770,2019-02-19T02:02:50Z,UAL2,"1.345505,103.990089",0,33,202
1550542414,2019-02-19T02:13:34Z,UAL2,"1.363174,103.99942",300,205,22
1550542420,2019-02-19T02:13:40Z,UAL2,"1.368077,104.001366",525,207,22
1550542426,2019-02-19T02:13:46Z,UAL2,"1.374115,104.003799",800,208,21
1550542433,2019-02-19T02:13:53Z,UAL2,"1.379343,104.006104",1075,207,26
1550542442,2019-02-19T02:14:02Z,UAL2,"1.386698,104.011307",1400,207,40
1550542448,2019-02-19T02:14:08Z,UAL2,"1.390329,104.015617",1525,211,53
1550542456,2019-02-19T02:14:16Z,UAL2,"1.394302,104.0233",1700,217,66
1550542463,2019-02-19T02:14:23Z,UAL2,"1.39682,104.029541",1900,220,68
1550542471,2019-02-19T02:14:31Z,UAL2,"1.399547,104.037872",2125,223,74
1550542477,2019-02-19T02:14:37Z,UAL2,"1.400664,104.04422",2275,227,82
1550542483,2019-02-19T02:14:43Z,UAL2,"1.40094,104.050301",2400,232,89
1550542505,2019-02-19T02:15:05Z,UAL2,"1.399221,104.074577",2825,253,95
1550542512,2019-02-19T02:15:12Z,UAL2,"1.398514,104.081543",2950,258,95
1550542522,2019-02-19T02:15:22Z,UAL2,"1.397049,104.096016",3300,266,95
1550542528,2019-02-19T02:15:28Z,UAL2,"1.396317,104.103188",3425,270,95
1550542535,2019-02-19T02:15:35Z,UAL2,"1.395543,104.110893",3575,275,95
