Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551082260,2019-02-25T08:11:00Z,UAE1QH,"-37.00462,174.779785",0,0,340
1551082509,2019-02-25T08:15:09Z,UAE1QH,"-37.00462,174.7798",0,0,90
1551082561,2019-02-25T08:16:01Z,UAE1QH,"-37.00486,174.779938",0,9,343
1551082582,2019-02-25T08:16:22Z,UAE1QH,"-37.005077,174.779999",0,9,343
1551082602,2019-02-25T08:16:42Z,UAE1QH,"-37.005295,174.78009",0,9,343
1551082621,2019-02-25T08:17:01Z,UAE1QH,"-37.005516,174.780182",0,10,343
1551082652,2019-02-25T08:17:32Z,UAE1QH,"-37.005863,174.780319",0,9,345
1551082682,2019-02-25T08:18:02Z,UAE1QH,"-37.006203,174.780457",0,10,354
1551082703,2019-02-25T08:18:23Z,UAE1QH,"-37.006435,174.780502",0,9,8
1551082723,2019-02-25T08:18:43Z,UAE1QH,"-37.006668,174.780518",0,9,19
1551082752,2019-02-25T08:19:12Z,UAE1QH,"-37.006874,174.780411",0,0,230
1551082903,2019-02-25T08:21:43Z,UAE1QH,"-37.006878,174.780411",0,0,60
1551082998,2019-02-25T08:23:18Z,UAE1QH,"-37.006657,174.780426",0,15,14
1551083008,2019-02-25T08:23:28Z,UAE1QH,"-37.006405,174.78035",0,18,357
1551083016,2019-02-25T08:23:36Z,UAE1QH,"-37.006203,174.780212",0,17,340
1551083034,2019-02-25T08:23:54Z,UAE1QH,"-37.005959,174.779678",0,17,298
1551083044,2019-02-25T08:24:04Z,UAE1QH,"-37.005955,174.779388",0,15,278
1551083052,2019-02-25T08:24:12Z,UAE1QH,"-37.006016,174.77916",0,17,264
1551083058,2019-02-25T08:24:18Z,UAE1QH,"-37.006119,174.7789",0,20,253
1551083066,2019-02-25T08:24:26Z,UAE1QH,"-37.006187,174.778641",0,21,253
1551083074,2019-02-25T08:24:34Z,UAE1QH,"-37.006294,174.778229",0,24,253
1551083090,2019-02-25T08:24:50Z,UAE1QH,"-37.006519,174.777405",0,19,250
1551083102,2019-02-25T08:25:02Z,UAE1QH,"-37.006588,174.777161",0,10,250
1551083117,2019-02-25T08:25:17Z,UAE1QH,"-37.006668,174.776855",0,12,250
1551083142,2019-02-25T08:25:42Z,UAE1QH,"-37.006817,174.776291",0,14,250
1551083159,2019-02-25T08:25:59Z,UAE1QH,"-37.006966,174.775757",0,16,250
1551083168,2019-02-25T08:26:08Z,UAE1QH,"-37.007133,174.775513",0,19,233
1551083178,2019-02-25T08:26:18Z,UAE1QH,"-37.007435,174.775467",0,21,199
1551083185,2019-02-25T08:26:25Z,UAE1QH,"-37.007664,174.775558",0,21,177
1551083191,2019-02-25T08:26:31Z,UAE1QH,"-37.0079,174.775681",0,23,163
1551083199,2019-02-25T08:26:39Z,UAE1QH,"-37.008286,174.775848",0,27,160
1551083205,2019-02-25T08:26:45Z,UAE1QH,"-37.008591,174.77597",0,28,160
1551083211,2019-02-25T08:26:51Z,UAE1QH,"-37.008888,174.776108",0,27,160
1551083223,2019-02-25T08:27:03Z,UAE1QH,"-37.009449,174.776337",0,25,160
1551083229,2019-02-25T08:27:09Z,UAE1QH,"-37.009739,174.776428",0,26,160
1551083235,2019-02-25T08:27:15Z,UAE1QH,"-37.010029,174.77655",0,27,160
1551083241,2019-02-25T08:27:21Z,UAE1QH,"-37.01033,174.776672",0,29,160
1551083249,2019-02-25T08:27:29Z,UAE1QH,"-37.010674,174.77681",0,31,160
1551083261,2019-02-25T08:27:41Z,UAE1QH,"-37.01136,174.777084",0,29,160
1551083267,2019-02-25T08:27:47Z,UAE1QH,"-37.011658,174.777206",0,24,160
1551083274,2019-02-25T08:27:54Z,UAE1QH,"-37.011986,174.777344",0,19,160
1551083286,2019-02-25T08:28:06Z,UAE1QH,"-37.012276,174.777435",0,19,165
