Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548078229,2019-01-21T13:43:49Z,CAL5321,"40.657402,-73.778992",0,13,5
1548078253,2019-01-21T13:44:13Z,CAL5321,"40.657207,-73.779266",0,11,5
1548078266,2019-01-21T13:44:26Z,CAL5321,"40.657166,-73.77948",0,10,5
1548078303,2019-01-21T13:45:03Z,CAL5321,"40.657177,-73.779251",0,11,5
1548078332,2019-01-21T13:45:32Z,CAL5321,"40.656921,-73.778595",0,15,5
1548078345,2019-01-21T13:45:45Z,CAL5321,"40.656815,-73.778343",0,11,5
1548078405,2019-01-21T13:46:45Z,CAL5321,"40.656784,-73.77829",0,0,139
1548078619,2019-01-21T13:50:19Z,CAL5321,"40.656723,-73.778122",0,12,5
1548078631,2019-01-21T13:50:31Z,CAL5321,"40.656578,-73.777802",0,19,5
1548078638,2019-01-21T13:50:38Z,CAL5321,"40.656456,-73.777534",0,24,120
1548078646,2019-01-21T13:50:46Z,CAL5321,"40.656246,-73.777084",0,24,123
1548078655,2019-01-21T13:50:55Z,CAL5321,"40.656075,-73.776688",0,20,120
1548078715,2019-01-21T13:51:55Z,CAL5321,"40.654572,-73.777344",0,23,210
1548078729,2019-01-21T13:52:09Z,CAL5321,"40.654068,-73.777733",0,24,210
1548078736,2019-01-21T13:52:16Z,CAL5321,"40.653786,-73.777924",0,17,5
1548078746,2019-01-21T13:52:26Z,CAL5321,"40.65358,-73.777893",0,19,5
1548078752,2019-01-21T13:52:32Z,CAL5321,"40.653385,-73.777664",0,22,135
1548078761,2019-01-21T13:52:41Z,CAL5321,"40.65316,-73.777252",0,27,120
1548078767,2019-01-21T13:52:47Z,CAL5321,"40.653019,-73.776917",0,29,120
1548078777,2019-01-21T13:52:57Z,CAL5321,"40.652721,-73.776276",0,30,120
1548078798,2019-01-21T13:53:18Z,CAL5321,"40.652035,-73.774765",0,15,120
1548078813,2019-01-21T13:53:33Z,CAL5321,"40.65144,-73.773415",0,18,120
1548078819,2019-01-21T13:53:39Z,CAL5321,"40.651176,-73.772858",0,18,120
1548078825,2019-01-21T13:53:45Z,CAL5321,"40.650948,-73.772339",0,18,120
1548078833,2019-01-21T13:53:53Z,CAL5321,"40.650635,-73.771667",0,31,120
1548078839,2019-01-21T13:53:59Z,CAL5321,"40.650509,-73.77137",0,23,120
1548078848,2019-01-21T13:54:08Z,CAL5321,"40.650356,-73.771042",0,20,120
1548078859,2019-01-21T13:54:19Z,CAL5321,"40.650253,-73.770836",0,13,5
1548078870,2019-01-21T13:54:30Z,CAL5321,"40.650112,-73.770538",0,16,5
1548078889,2019-01-21T13:54:49Z,CAL5321,"40.64994,-73.770142",0,10,5
1548078913,2019-01-21T13:55:13Z,CAL5321,"40.649837,-73.769897",0,2,5
1548078946,2019-01-21T13:55:46Z,CAL5321,"40.649689,-73.769577",0,20,120
1548078958,2019-01-21T13:55:58Z,CAL5321,"40.649471,-73.769135",0,14,5
1548078972,2019-01-21T13:56:12Z,CAL5321,"40.649185,-73.76915",0,20,208
1548078979,2019-01-21T13:56:19Z,CAL5321,"40.648949,-73.769447",0,25,227
1548078985,2019-01-21T13:56:25Z,CAL5321,"40.64875,-73.769791",0,30,233
1548078995,2019-01-21T13:56:35Z,CAL5321,"40.648472,-73.770309",0,34,236
1548079001,2019-01-21T13:56:41Z,CAL5321,"40.648239,-73.770744",0,34,236
1548079010,2019-01-21T13:56:50Z,CAL5321,"40.647938,-73.771324",0,28,233
1548079021,2019-01-21T13:57:01Z,CAL5321,"40.64764,-73.771805",0,18,5
1548079032,2019-01-21T13:57:12Z,CAL5321,"40.6474,-73.771851",0,15,5
1548079044,2019-01-21T13:57:24Z,CAL5321,"40.647125,-73.771561",0,20,132
1548079052,2019-01-21T13:57:32Z,CAL5321,"40.646896,-73.77124",0,24,137
1548079059,2019-01-21T13:57:39Z,CAL5321,"40.646679,-73.771042",0,26,149
1548079067,2019-01-21T13:57:47Z,CAL5321,"40.646389,-73.770912",0,27,165
1548079076,2019-01-21T13:57:56Z,CAL5321,"40.645924,-73.770874",0,29,180
1548079085,2019-01-21T13:58:05Z,CAL5321,"40.645615,-73.770889",0,13,5
1548079120,2019-01-21T13:58:40Z,CAL5321,"40.645317,-73.770897",0,18,5
1548079126,2019-01-21T13:58:46Z,CAL5321,"40.645107,-73.770897",0,22,180
1548079132,2019-01-21T13:58:52Z,CAL5321,"40.644859,-73.770889",0,23,180
1548079138,2019-01-21T13:58:58Z,CAL5321,"40.644596,-73.77092",0,24,188
1548079144,2019-01-21T13:59:04Z,CAL5321,"40.644333,-73.771057",0,25,202
1548079152,2019-01-21T13:59:12Z,CAL5321,"40.644093,-73.771225",0,27,208
1548079159,2019-01-21T13:59:19Z,CAL5321,"40.643677,-73.771538",0,29,210
1548079169,2019-01-21T13:59:29Z,CAL5321,"40.643223,-73.771896",0,31,210
1548079178,2019-01-21T13:59:38Z,CAL5321,"40.642689,-73.772316",0,33,210
1548079185,2019-01-21T13:59:45Z,CAL5321,"40.642326,-73.772598",0,15,210
1548079196,2019-01-21T13:59:56Z,CAL5321,"40.641628,-73.773148",0,16,210
1548079206,2019-01-21T14:00:06Z,CAL5321,"40.641083,-73.773575",0,32,210
1548079212,2019-01-21T14:00:12Z,CAL5321,"40.640823,-73.773758",0,25,208
1548079218,2019-01-21T14:00:18Z,CAL5321,"40.640591,-73.773819",0,22,177
1548079224,2019-01-21T14:00:24Z,CAL5321,"40.640373,-73.773666",0,24,143
1548079232,2019-01-21T14:00:32Z,CAL5321,"40.640125,-73.773285",0,26,129
1548079239,2019-01-21T14:00:39Z,CAL5321,"40.639904,-73.772903",0,29,126
1548079247,2019-01-21T14:00:47Z,CAL5321,"40.639671,-73.772491",0,32,126
1548079258,2019-01-21T14:00:58Z,CAL5321,"40.639244,-73.771759",0,34,129
1548079274,2019-01-21T14:01:14Z,CAL5321,"40.63866,-73.770775",0,24,126
1548079285,2019-01-21T14:01:25Z,CAL5321,"40.638382,-73.770279",0,19,126
1548079300,2019-01-21T14:01:40Z,CAL5321,"40.638268,-73.770065",0,0,59
1548079388,2019-01-21T14:03:08Z,CAL5321,"40.638119,-73.769821",0,12,5
1548079405,2019-01-21T14:03:25Z,CAL5321,"40.63797,-73.769562",0,14,5
1548079412,2019-01-21T14:03:32Z,CAL5321,"40.637833,-73.769356",0,16,5
1548079421,2019-01-21T14:03:41Z,CAL5321,"40.637558,-73.76918",0,21,168
1548079428,2019-01-21T14:03:48Z,CAL5321,"40.637318,-73.769165",0,24,177
1548079438,2019-01-21T14:03:58Z,CAL5321,"40.636913,-73.769165",0,25,180
1548079450,2019-01-21T14:04:10Z,CAL5321,"40.636482,-73.76918",0,15,5
1548079479,2019-01-21T14:04:39Z,CAL5321,"40.636276,-73.76918",0,13,5
1548079492,2019-01-21T14:04:52Z,CAL5321,"40.635983,-73.76918",0,17,5
1548079502,2019-01-21T14:05:02Z,CAL5321,"40.635715,-73.76918",0,20,180
1548079515,2019-01-21T14:05:15Z,CAL5321,"40.635258,-73.769196",0,23,182
1548079523,2019-01-21T14:05:23Z,CAL5321,"40.634865,-73.769241",0,25,185
1548079531,2019-01-21T14:05:31Z,CAL5321,"40.634632,-73.769279",0,13,5
1548079549,2019-01-21T14:05:49Z,CAL5321,"40.634319,-73.769325",0,14,5
1548079600,2019-01-21T14:06:40Z,CAL5321,"40.63591,-73.76918",0,0,271
1548079640,2019-01-21T14:07:20Z,CAL5321,"40.634296,-73.769333",0,0,89
1548079672,2019-01-21T14:07:52Z,CAL5321,"40.634052,-73.769371",0,15,5
1548079684,2019-01-21T14:08:04Z,CAL5321,"40.633713,-73.769424",0,20,185
1548079690,2019-01-21T14:08:10Z,CAL5321,"40.63348,-73.769432",0,22,182
1548079698,2019-01-21T14:08:18Z,CAL5321,"40.63327,-73.769447",0,20,182
1548079705,2019-01-21T14:08:25Z,CAL5321,"40.633026,-73.769455",0,16,5
1548079716,2019-01-21T14:08:36Z,CAL5321,"40.632793,-73.769463",0,18,5
1548079724,2019-01-21T14:08:44Z,CAL5321,"40.632545,-73.76947",0,15,5
1548079755,2019-01-21T14:09:15Z,CAL5321,"40.632294,-73.76947",0,12,5
1548079775,2019-01-21T14:09:35Z,CAL5321,"40.632088,-73.769485",0,2,5
1548079795,2019-01-21T14:09:55Z,CAL5321,"40.631886,-73.769493",0,12,5
1548079807,2019-01-21T14:10:07Z,CAL5321,"40.631664,-73.769508",0,14,5
1548079819,2019-01-21T14:10:19Z,CAL5321,"40.631397,-73.769569",0,16,5
1548079828,2019-01-21T14:10:28Z,CAL5321,"40.631176,-73.769653",0,14,5
1548079981,2019-01-21T14:13:01Z,CAL5321,"40.631153,-73.769653",0,0,89
1548080029,2019-01-21T14:13:49Z,CAL5321,"40.630932,-73.769775",0,14,5
1548080047,2019-01-21T14:14:07Z,CAL5321,"40.630474,-73.770096",0,22,208
1548080053,2019-01-21T14:14:13Z,CAL5321,"40.630234,-73.770279",0,26,210
1548080060,2019-01-21T14:14:20Z,CAL5321,"40.629993,-73.770477",0,25,210
1548080066,2019-01-21T14:14:26Z,CAL5321,"40.62978,-73.770638",0,22,210
1548080080,2019-01-21T14:14:40Z,CAL5321,"40.629326,-73.770996",0,23,210
1548080086,2019-01-21T14:14:46Z,CAL5321,"40.629089,-73.771164",0,25,210
1548080096,2019-01-21T14:14:56Z,CAL5321,"40.628677,-73.7715",0,25,210
1548080106,2019-01-21T14:15:06Z,CAL5321,"40.628384,-73.771729",0,19,5
1548080114,2019-01-21T14:15:14Z,CAL5321,"40.628269,-73.771942",0,15,5
1548080122,2019-01-21T14:15:22Z,CAL5321,"40.628258,-73.772148",0,17,5
1548080129,2019-01-21T14:15:29Z,CAL5321,"40.628326,-73.772415",0,14,5
1548080227,2019-01-21T14:17:07Z,CAL5321,"40.628414,-73.772644",0,25,298
1548080234,2019-01-21T14:17:14Z,CAL5321,"40.628803,-73.773529",0,37,300
1548080241,2019-01-21T14:17:21Z,CAL5321,"40.629456,-73.774979",0,57,300
1548080248,2019-01-21T14:17:28Z,CAL5321,"40.631161,-73.778702",0,90,300
1548080256,2019-01-21T14:17:36Z,CAL5321,"40.633186,-73.783218",0,120,300
1548080273,2019-01-21T14:17:53Z,CAL5321,"40.638149,-73.793983",375,124,301
1548080279,2019-01-21T14:17:59Z,CAL5321,"40.640011,-73.797974",575,128,299
1548080288,2019-01-21T14:18:08Z,CAL5321,"40.641548,-73.804466",850,129,273
1548080309,2019-01-21T14:18:29Z,CAL5321,"40.639709,-73.822754",1675,135,262
1548080317,2019-01-21T14:18:37Z,CAL5321,"40.639572,-73.828247",1950,131,267
1548080326,2019-01-21T14:18:46Z,CAL5321,"40.638977,-73.835388",2250,134,259
1548080334,2019-01-21T14:18:54Z,CAL5321,"40.637589,-73.842049",2525,137,252
1548080341,2019-01-21T14:19:01Z,CAL5321,"40.636047,-73.847412",2775,140,248
1548080347,2019-01-21T14:19:07Z,CAL5321,"40.634399,-73.852173",2925,144,244
1548080354,2019-01-21T14:19:14Z,CAL5321,"40.631607,-73.858093",3150,152,237
1548080361,2019-01-21T14:19:21Z,CAL5321,"40.62772,-73.863083",3325,166,219
1548080367,2019-01-21T14:19:27Z,CAL5321,"40.623253,-73.866325",3350,187,203
1548080375,2019-01-21T14:19:35Z,CAL5321,"40.615814,-73.868408",3450,212,185
1548080400,2019-01-21T14:20:00Z,CAL5321,"40.590481,-73.855278",4275,263,138
1548080412,2019-01-21T14:20:12Z,CAL5321,"40.581448,-73.839859",4875,272,120
1548080418,2019-01-21T14:20:18Z,CAL5321,"40.578232,-73.830933",5125,275,111
1548080425,2019-01-21T14:20:25Z,CAL5321,"40.576035,-73.820618",5325,275,101
1548080434,2019-01-21T14:20:34Z,CAL5321,"40.575897,-73.805786",5825,266,83
1548080440,2019-01-21T14:20:40Z,CAL5321,"40.577545,-73.796692",6100,264,72
1548080446,2019-01-21T14:20:46Z,CAL5321,"40.580521,-73.788086",6400,258,60
1548080452,2019-01-21T14:20:52Z,CAL5321,"40.584778,-73.780212",6800,254,52
1548080460,2019-01-21T14:21:00Z,CAL5321,"40.591507,-73.770142",7375,255,47
1548080466,2019-01-21T14:21:06Z,CAL5321,"40.596542,-73.763367",7675,258,45
1548080473,2019-01-21T14:21:13Z,CAL5321,"40.601978,-73.756523",8125,259,43
